"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2022"",""Country = INDIA""]"																																						
	2006	4	6	17	59	16.4			"INDIA:  GUJARAT"	23.322	70.477	10	5.5									1												1				
	2006	12	24	22	43	26.7			"INDIA:  RAJASTHAN"	26.88	76.15	10	4.2																					1				
	2007	7	22	23	2	14.7			"INDIA:  UTTARKASHI, CHAMOLI, MUZAFFARNAGAR"	30.881	78.239	19	4.3						3	1		1		1		1					3	1		1		1		
	2007	8	20	19	15	53.5			"INDIA:  MAHARASHTRA:  SATARA"	17.2	73.7	5	4.4									1												1				
	2007	11	6	9	38	5.7			"INDIA:  GUJARAT"	21.181	70.724	10	5.1		1	1			5	1		1		2		2	1	1			5	1		1		2		
	2007	11	25	23	12	17			"INDIA:  BADAUN, MEERUT, NOIDA, REWARI"	28.555	77.057	10	4.7									1		1		1								1		1		
	2008	2	6	6	9	40.4			"INDIA:  WEST BENGAL"	23.433	87.111	10	4.3		1	1			50	1		2					1	1			50	1		2				3
	2008	3	9	11	10	41			"INDIA:  GUJARAT"	23.33	70.592	10	4.5									1												1				1
	2008	6	6	21	16	33.8			"INDIA:  MANPUR"	24.702	84.964	11	3.8						2	1		1									2	1		1				
	2008	9	16	21	47	14.5			"INDIA:  MAHARASHTRA"	17.438	73.915	10	5		1	1			20	1		3					1	1			20	1		3			1500	4
